dprime,beta,aprime,bppd,c,ID,strategy
0.508107233,0.889134315,0.677696078,-0.095057034,-0.231264114,1,1
0.312601719,0.879803531,0.622289986,-0.102140736,-0.409647963,1,2
0.590509793,0.764183168,0.70152972,-0.208083175,-0.455450144,1,3
0.274962949,1.019171933,0.603571429,0.009009009,0.06906555,2,1
0,1,0.5,0,0.397621661,2,2
0.303876292,1.147457646,0.614473684,0.092150171,0.452647201,2,3
0.369124979,1.043804904,0.633928571,0.024390244,0.116146565,3,1
0.367532397,0.974750989,0.633928571,-0.024390244,-0.069580904,3,2
1.255114462,1.308229669,0.830251023,0.166989293,0.214064003,3,3
0.089608033,1.006236486,0.537087912,0.002967359,0.069381278,4,1
0.283436367,1.075227591,0.606617647,0.046728972,0.255903478,4,2
-0.55530272,1.040274303,0.311764706,-0.037735849,-0.071104336,4,3
0.274962949,1.019171933,0.603571429,0.009009009,0.06906555,6,1
0.5621844,0.821611178,0.692874494,-0.153440548,-0.349508124,6,2
1.028221986,0.887118338,0.794368897,-0.107482237,-0.116489331,6,3
0.746377357,1.018403521,0.735294118,0,0.024432983,7,1
0.470405076,0.830275981,0.66840449,-0.14463147,-0.395397786,7,2
1.719699739,0.202637129,0.865384615,-1,-0.928265794,7,3
0.197719779,1.082207226,0.577777778,0.052631579,0.399568944,8,1
0.371545198,0.941241447,0.635746606,-0.049689441,-0.162983097,8,2
0.083362253,1.01383847,0.534508547,0.008492082,0.164865898,8,3
0.953341042,1.129693609,0.778637771,0.06993007,0.127914826,9,1
1.626506547,0.856542881,0.881818182,-0.153846154,-0.095204595,9,2
0.866800923,0.82148897,0.7625,-0.157894737,-0.226853437,9,3
-0.246130899,1.388218474,0.359392308,-0.331135892,-1.332710576,10,1
0.406906796,0.830377196,0.65,-0.142857143,-0.456800501,10,2
-0.330891874,1.224832931,0.370535714,-0.156626506,-0.612902485,10,3
1.453751081,0.619617341,0.858056266,-0.378378378,-0.329253879,12,1
1.360602816,1.245444145,0.846559829,0.129647681,0.161319826,12,2
1.660714767,0.687328486,0.884439359,-0.316831683,-0.225772037,12,3
0.279475635,1.138729945,0.606697031,0.087282865,0.464847529,13,1
0.693471417,1.293685254,0.722115385,0.169550173,0.37131297,13,2
0.096580776,0.997540135,0.540064103,-0.003484321,-0.025500886,13,3
-0.774439193,1.235466294,0.257142857,-0.166666667,-0.273034302,14,1
-0.283436367,0.930035658,0.393382353,0.046728972,0.255903478,14,2
-0.814357891,1.473004858,0.246923077,-0.298026999,-0.47559487,14,3
0.324416661,1.373016547,0.629682274,0.221043125,0.977169845,15,1
0.762188578,0.531787139,0.74687291,-0.486423994,-0.828550837,15,2
0.144152022,1.097591536,0.559956044,0.063530117,0.645972667,15,3
0.098700853,0.96146856,0.541666667,-0.03030303,-0.398106122,17,1
0.093151855,0.980923191,0.538352273,-0.015384615,-0.206771175,17,2
-0.06178732,0.979719627,0.474384615,0.013458732,0.331602715,17,3
0.212797351,0.888821435,0.5875,-0.090909091,-0.553855223,18,1
-0.036329943,1.012082756,0.485090498,-0.008908167,-0.330590724,18,2
0.05907865,0.983426332,0.525615385,-0.013458732,-0.282886428,18,3
0.421271302,1.081957434,0.65005047,0.048890746,0.18698601,19,1
0.775013605,1.00786996,0.742741327,-0.009160865,0.010114859,19,2
0.62201937,0.835873046,0.708333333,-0.142857143,-0.288220183,19,3
0.459894128,0.989296158,0.661458333,-0.015384615,-0.023400039,20,1
0.683043401,0.804360341,0.722115385,-0.169550173,-0.318732198,20,2
1.501875132,1.145905948,0.866071429,0.066666667,0.090683667,20,3
-0.06178732,0.979719627,0.474384615,0.013458732,0.331602715,21,1
0.764780594,1.18522243,0.738596491,0.10738255,0.222195049,21,2
0.511501654,1.266764631,0.676136364,0.157894737,0.462297851,21,3
0.892533717,0.743494439,0.767857143,-0.230769231,-0.332081564,22,1
0.757277891,0.87781325,0.738596491,-0.10738255,-0.172091921,22,2
1.232434629,0.481253565,0.824130435,-0.545117429,-0.593427812,22,3
0.24820397,0.823097806,0.606060606,-0.153846154,-0.784355884,23,1
-0.960962953,1.188574438,0.21875,-0.142857143,-0.179772422,23,2
0.774439193,0.809410993,0.742857143,-0.166666667,-0.273034302,23,3
0.130109446,0.896071817,0.561363636,-0.088082902,-0.843403145,24,1
0,1,0.5,0,0.114185294,24,2
0.091205427,0.997921474,0.537087912,-0.002967359,-0.022813211,24,3
0.515168641,1.022465135,0.67724359,0.006951341,0.043124734,25,1
1.75648508,0.362609439,0.884375,-0.72972973,-0.577533485,25,2
1.209166923,0.69250842,0.823863636,-0.290322581,-0.303874407,25,3
0.47024605,0.904974058,0.665598291,-0.079872204,-0.212333523,26,1
0.46294099,0.947151588,0.662815126,-0.046728972,-0.117285201,26,2
0.557816909,1.068462003,0.688235294,0.037735849,0.118713207,26,3
0.426611047,0.958595789,0.652568681,-0.037836556,-0.099120229,27,1
1.115004893,0.676165769,0.808333333,-0.304347826,-0.350955422,27,2
1.295580777,0.351055602,0.827272727,-0.736842105,-0.807985636,27,3
-0.326490594,0.999004683,0.379540293,-0.004724242,0.003050049,28,1
-0.09416203,0.97640079,0.461647727,0.015384615,0.253628039,28,2
0,1,0.5,0,0.300709055,28,3
-0.109523032,1.068563648,0.451785714,-0.051383399,-0.605492383,29,1
0.406906796,0.830377196,0.65,-0.142857143,-0.456800501,29,2
0.472303068,0.904139567,0.668138587,-0.082906858,-0.213362032,29,3
-0.554056158,0.986965109,0.3125,-5.86E-17,0.023680976,31,1
-0.466037586,0.92615736,0.337184874,0.046728972,0.164602868,31,2
-0.580169603,1.23956543,0.304195804,-0.165517241,-0.370169097,31,3
